noc,avg_age,avg_height,avg_weight,medals,global_gold,global_silver,global_bronze,swimming_gold,swimming_silver,swimming_bronze,gymnastics_gold,gymnastics_silver,gymnastics_bronze,hockey_gold,hockey_silver,hockey_bronze,rowing_gold,rowing_silver,rowing_bronze,football_gold,football_silver,football_bronze,sailing_gold,sailing_silver,sailing_bronze,cycling_gold,cycling_silver,cycling_bronze,fencing_gold,fencing_silver,fencing_bronze,athletics_gold,athletics_silver,athletics_bronze,canoeing_gold,canoeing_silver,canoeing_bronze,wrestling_gold,wrestling_silver,wrestling_bronze,shooting_gold,shooting_silver,shooting_bronze
FIN,27,176.39,72.87,432,123,119,190,0,1,3,15,24,60,0,0,0,3,2,11,0,0,0,3,8,24,0,0,0,0,0,0,64,42,32,7,2,5,27,29,29,4,11,26
NOR,29,180.03,76.16,488,197,157,134,0,1,1,44,55,22,0,0,0,4,18,39,17,0,30,81,37,7,2,0,2,0,1,0,7,5,8,9,5,8,4,2,2,29,33,15
NED,25,177.88,71.19,743,188,243,312,30,48,36,12,0,0,80,87,88,21,53,65,0,0,42,11,20,12,25,25,17,0,1,30,9,4,9,0,4,8,0,0,0,0,1,5
FRA,27,179.24,73.59,1122,322,367,433,13,33,34,5,17,36,0,0,0,20,48,51,16,16,0,30,39,48,69,39,43,129,92,89,14,40,62,10,12,31,4,4,9,12,27,30
ITA,26,177.23,74.53,1035,421,305,309,5,5,17,68,18,23,0,0,0,54,61,68,14,0,34,9,4,13,70,34,20,151,136,72,19,18,35,8,9,6,7,4,10,16,16,11
ESP,25,177.08,73.05,238,75,120,43,2,2,4,2,1,1,15,48,14,0,2,0,17,35,0,24,8,1,5,6,8,0,0,1,3,5,6,7,11,6,0,0,1,0,2,1
RUS,24,175.1,71.9,1992,724,643,625,34,84,79,176,142,81,0,0,32,27,87,63,36,0,51,7,12,12,34,17,26,101,59,61,124,129,121,59,27,26,97,52,43,29,34,30
BLR,27,181.49,84.58,82,13,19,50,0,2,1,0,0,4,0,0,0,2,1,14,0,0,0,0,0,0,0,0,1,0,0,0,4,6,7,6,4,12,0,4,7,1,2,4
CMR,21,178.11,75.25,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
USA,24,179.21,73.91,3488,1760,946,782,649,254,175,60,71,63,0,0,30,186,101,88,66,24,12,60,45,35,16,31,31,4,18,47,542,317,221,8,7,6,52,42,34,117,36,40
HUN,26,177.88,74.55,812,294,255,263,36,32,26,20,46,45,0,0,0,0,4,4,46,17,16,0,0,2,0,0,0,103,60,73,11,15,26,52,62,44,19,16,20,7,3,7
GRE,26,175.16,70.82,190,49,72,69,1,4,2,6,2,4,0,0,0,17,27,11,0,0,11,6,2,8,1,3,0,3,6,3,8,14,15,0,0,0,1,3,7,6,11,8
AUS,23,179.75,74.67,1026,292,361,373,123,165,124,0,0,0,64,45,79,22,56,66,0,0,0,22,17,14,26,29,29,0,0,0,24,37,29,6,10,25,0,1,2,5,1,5
IRI,25,174.44,77.0,44,9,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,14,20,0,0,0
CAN,25,178.31,73.11,571,107,189,275,8,25,65,1,0,0,0,0,0,50,90,63,13,0,36,0,10,15,1,5,17,0,0,0,22,26,50,5,13,15,3,7,7,4,13,7
PAK,24,173.22,69.92,120,42,45,33,0,0,0,0,0,0,42,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AZE,27,169.54,70.82,28,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,11,1,0,2
TJK,32,178.5,102.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ETH,25,165.92,52.09,53,22,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,22,0,0,0,0,0,0,0,0,0
SUI,28,178.97,74.51,316,82,136,98,0,0,1,23,40,21,0,0,0,24,27,24,0,15,0,3,6,3,5,15,6,1,10,12,0,6,2,0,4,0,4,4,7,22,9,22
GER,24,179.12,74.06,2472,857,760,855,82,137,148,52,40,72,83,86,79,272,92,107,35,34,104,18,21,30,53,60,42,42,41,39,90,132,143,104,71,54,8,25,18,18,21,19
SWE,27,179.37,74.31,827,285,269,273,9,26,35,95,7,1,0,0,0,0,10,0,12,18,30,33,45,35,15,11,22,6,13,7,32,35,61,23,23,11,28,27,31,32,54,40
RSA,24,183.02,76.02,88,22,39,27,9,6,12,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,9,6,0,0,0,8,17,6,0,0,1,0,0,0,0,5,0
TUR,26,176.02,83.33,69,30,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,29,18,16,0,0,0
