id,name,sex,age,height,weight,noc,year,season,city,sport,event,medal
4,Edgar Lindenau Aabye,M,34.0,NA,NA,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
15,Arvo Ossian Aaltonen,M,30.0,NA,NA,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,M,30.0,NA,NA,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
17,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
21,Ragnhild Margrethe Aamodt,F,27.0,163.0,NA,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
25,Alf Lied Aanning,M,24.0,NA,NA,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
29,Willemien Aardenburg,F,22.0,NA,NA,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
30,Pepijn Aardewijn,M,26.0,189.0,72.0,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
37,Ann Kristin Aarnes,F,23.0,182.0,64.0,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
38,Karl Jan Aas,M,20.0,NA,NA,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
42,Thomas Valentin Aas,M,25.0,NA,NA,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
56,Ren Abadie,M,21.0,NA,NA,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
62,Giovanni Abagnale,M,21.0,198.0,90.0,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
63,Jos Luis Abajo Gmez,M,30.0,194.0,87.0,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
65,Patimat Abakarova,F,21.0,165.0,49.0,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,RUS,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
72,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,BLR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,Luc Abalo,M,23.0,182.0,86.0,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,27.0,182.0,86.0,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,31.0,182.0,86.0,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
76,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
80,Jos Mara Abarca Plotas,M,22.0,186.0,83.0,ESP,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
84,Stephen Anthony Abas,M,26.0,165.0,55.0,USA,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
85,Alejandro Abascal Garca,M,28.0,181.0,82.0,ESP,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
86,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,ESP,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,RUS,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
93,Jol Marc Abati,M,38.0,190.0,85.0,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
99,Pter Abay,M,30.0,181.0,79.0,HUN,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
100,Oszkr Abay-Nemes,M,22.0,NA,NA,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
103,Silvano Abba,M,25.0,NA,NA,ITA,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
106,Agostino Abbagnale,M,22.0,188.0,96.0,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
106,Agostino Abbagnale,M,29.0,188.0,96.0,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
106,Agostino Abbagnale,M,34.0,188.0,96.0,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,M,22.0,182.0,90.0,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,M,26.0,182.0,90.0,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,M,30.0,182.0,90.0,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
108,Giuseppe Abbagnale,M,25.0,187.0,97.0,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,29.0,187.0,97.0,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,M,33.0,187.0,97.0,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
139,"George ""Ioannis"" Abbot",M,NA,NA,NA,GRE,1906,Summer,Athina,Football,Football Men's Football,Bronze
143,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
150,Margaret Ives Abbott (-Dunne),F,23.0,NA,NA,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
153,Monica Cecilia Abbott,F,23.0,191.0,88.0,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
165,Nia Nicole Abdallah,F,20.0,175.0,56.0,USA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
250,Saeid Morad Abdevali,M,26.0,170.0,80.0,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
259,Reema Abdo,F,21.0,173.0,59.0,CAN,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
297,Lala Abdul Rashid,M,38.0,169.0,91.0,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,M,23.0,181.0,72.0,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,RUS,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,UZB,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,AZE,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,AZE,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
351,Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,USA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
357,Yusup Abdusalomov,M,30.0,170.0,84.0,TJK,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
359,Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,RUS,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
379,Addis Abebe,M,21.0,160.0,50.0,ETH,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
385,"Max ""Xam"" Abegglen",M,22.0,NA,NA,SUI,1924,Summer,Paris,Football,Football Men's Football,Silver
394,Irene Abel,F,19.0,160.0,48.0,GER,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
395,Jennifer Abel,F,20.0,160.0,62.0,CAN,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
399,Egil Sten Abel,M,20.0,NA,NA,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
401,Abelardo Fernndez Antua,M,22.0,NA,NA,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
404,"Louis Grenville ""Lou"" Abell",M,15.0,NA,NA,USA,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",M,19.0,NA,NA,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,M,22.0,166.0,58.0,ETH,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
416,Nils Georg berg,M,19.0,181.0,78.0,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
416,Nils Georg berg,M,19.0,181.0,78.0,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
423,Michael Brent Abernathy,M,22.0,182.0,84.0,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),F,17.0,NA,NA,RSA,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
428,Elvan Abeylegesse,F,25.0,159.0,40.0,TUR,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
454,"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,RUS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,RUS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0,EGY,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
507,Attila brahm,M,21.0,192.0,88.0,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
507,Attila brahm,M,21.0,192.0,88.0,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
507,Attila brahm,M,25.0,192.0,88.0,HUN,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
509,Gary Abraham,M,21.0,175.0,64.0,GBR,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
514,Ara Abrahamian,M,29.0,191.0,84.0,SWE,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
519,Harold Maurice Abrahams,M,24.0,183.0,75.0,GBR,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
519,Harold Maurice Abrahams,M,24.0,183.0,75.0,GBR,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
521,Isak Abrahamsen,M,21.0,NA,NA,NOR,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
527,Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,SWE,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
